Timestamp,Source_IP,Bytes_Sent,HTTP_Status,Latency_ms
2026-03-01 12:00:50,192.168.1.10,869,5,41
2026-03-01 12:03:34,192.168.1.30,1256,5,37
2026-03-01 12:06:34,192.168.1.25,2141,9,41
2026-03-01 12:01:34,192.168.1.12,2012,5,42
2026-03-01 12:08:45,192.168.1.14,976,5,41
2026-03-01 12:09:44,192.168.1.13,533,9,16
2026-03-01 12:00:40,192.168.1.25,2759,5,42
2026-03-01 12:01:29,192.168.1.27,632,9,24
2026-03-01 12:09:11,192.168.1.29,1281,5,39
2026-03-01 12:03:18,192.168.1.25,2056,5,34
2026-03-01 12:00:47,192.168.1.13,849,9,34
2026-03-01 12:04:39,192.168.1.22,2895,5,15
2026-03-01 12:05:49,192.168.1.29,547,9,21
2026-03-01 12:06:37,192.168.1.25,2397,5,18
2026-03-01 12:01:09,192.168.1.19,1900,9,28
2026-03-01 12:00:41,192.168.1.11,778,5,31
2026-03-01 12:02:30,192.168.1.13,2350,9,26
2026-03-01 12:03:21,192.168.1.20,2219,9,19
2026-03-01 12:07:07,192.168.1.17,1388,9,43
2026-03-01 12:02:52,192.168.1.13,1361,5,35
2026-03-01 12:07:26,192.168.1.21,2711,9,39
2026-03-01 12:05:37,192.168.1.30,1109,9,39
2026-03-01 12:05:05,192.168.1.13,1117,9,37
2026-03-01 12:05:34,192.168.1.24,2552,5,15
2026-03-01 12:01:29,192.168.1.13,2258,9,14
2026-03-01 12:01:46,192.168.1.17,1258,5,33
2026-03-01 12:00:51,192.168.1.13,2369,9,37
2026-03-01 12:07:52,192.168.1.19,531,5,45
2026-03-01 12:07:35,192.168.1.13,2726,9,11
2026-03-01 12:02:29,192.168.1.25,1619,9,40
2026-03-01 12:08:57,192.168.1.22,1972,5,30
2026-03-01 12:05:06,192.168.1.23,1077,9,34
2026-03-01 12:01:01,192.168.1.15,1444,9,10
2026-03-01 12:08:25,192.168.1.28,933,5,36
2026-03-01 12:03:05,192.168.1.17,2059,5,23
2026-03-01 12:09:25,192.168.1.21,1132,5,10
2026-03-01 12:08:36,192.168.1.10,1857,5,29
